Notes: 5B
14.0
Mach number: 
Barometric pressure: 1020 mbar

mm	P/Pt	C4	C5	C4raw	C5raw
44.80000000	0.89124931	909.02927507	1019.94948606	-0.00851891	-0.00082958
56.80000000	0.86368328	880.91192959	1019.94787734	-0.01022193	-0.00082974
59.80000000	0.85195371	868.94508531	1019.94401640	-0.01094672	-0.00083012
62.80000000	0.84707771	863.96720496	1019.93854674	-0.01124821	-0.00083067
74.80000000	0.85269558	869.70559903	1019.94852083	-0.01090066	-0.00082967
79.80000000	0.86182084	879.01704627	1019.95334700	-0.01033669	-0.00082919
84.80000000	0.87215779	889.55408782	1019.94626861	-0.00969849	-0.00082990
96.80000000	0.89138590	909.16257073	1019.94272942	-0.00851084	-0.00083025
99.80000000	0.90013741	918.10076746	1019.95624270	-0.00796945	-0.00082890
102.80000000	0.90594104	924.01030866	1019.94530338	-0.00761151	-0.00083000
114.80000000	0.91638895	934.67426861	1019.95366874	-0.00696559	-0.00082916
119.80000000	0.92107173	939.44781893	1019.95077304	-0.00667645	-0.00082945
124.80000000	0.92438142	942.82205780	1019.94916432	-0.00647207	-0.00082961
129.80000000	0.92708762	945.58612276	1019.95334700	-0.00630465	-0.00082919
134.80000000	0.92941477	947.95880612	1019.95238176	-0.00616093	-0.00082929
139.80000000	0.93131079	949.88966157	1019.94916432	-0.00604398	-0.00082961
144.80000000	0.93294376	951.55340244	1019.94723385	-0.00594320	-0.00082980
149.80000000	0.93433497	952.97658161	1019.95173827	-0.00585700	-0.00082935
154.80000000	0.93559621	954.26328299	1019.95206002	-0.00577906	-0.00082932
159.80000000	0.93665317	955.33650678	1019.94691210	-0.00571405	-0.00082984
164.80000000	0.93746333	956.15589480	1019.93951197	-0.00566442	-0.00083057
176.80000000	0.93876149	957.48295188	1019.94272942	-0.00558404	-0.00083025
179.80000000	0.93930099	958.04106956	1019.95109478	-0.00555023	-0.00082942
182.80000000	0.93958436	958.32676625	1019.94755559	-0.00553292	-0.00082977
194.80000000	0.93990963	958.66397324	1019.95334700	-0.00551250	-0.00082919
226.80000000	0.93816890	956.89031670	1019.95527747	-0.00561993	-0.00082900
254.80000000	0.92741832	945.91536739	1019.94465989	-0.00628470	-0.00083006
286.80000000	0.90801336	926.12600953	1019.94755559	-0.00748336	-0.00082977
314.80000000	0.87478144	892.22218164	1019.93725976	-0.00953689	-0.00083080
344.80000000	0.79000073	805.73262488	1019.91377239	-0.01477506	-0.00083315
376.80000000	0.61284524	625.07059926	1019.94852083	-0.02571347	-0.00082967
404.80000000	0.61994841	632.31885382	1019.95399049	-0.02527472	-0.00082913
434.80000000	0.69931666	713.26294760	1019.94272942	-0.02037442	-0.00083025
466.80000000	0.74774634	762.66301855	1019.94884257	-0.01738323	-0.00082964
494.80000000	0.77671456	792.19787308	1019.93436405	-0.01559471	-0.00083109
524.80000000	0.79587764	811.74883939	1019.94176419	-0.01441072	-0.00083035
556.80000000	0.80882395	824.95696963	1019.94626861	-0.01361082	-0.00082990
584.80000000	0.81750303	833.81284688	1019.95077304	-0.01307449	-0.00082945
614.80000000	0.82280294	839.21425959	1019.94562512	-0.01274736	-0.00082996
642.80000000	0.82584396	842.32018235	1019.95077304	-0.01255926	-0.00082945
674.80000000	0.82676485	843.26024130	1019.95173827	-0.01250232	-0.00082935
704.80000000	0.82461896	841.06942367	1019.94916432	-0.01263501	-0.00082961
734.80000000	0.81968956	836.04352483	1019.95141653	-0.01293939	-0.00082938
764.80000000	0.81086172	827.04268623	1019.95527747	-0.01348450	-0.00082900
796.80000000	0.79053449	806.30041617	1019.94337291	-0.01474068	-0.00083019
824.80000000	0.73275664	747.37027564	1019.94337291	-0.01830925	-0.00083019
854.80000000	0.54908249	560.03199052	1019.94144244	-0.02964980	-0.00083038
