Notes: 3B
10.9
Mach number: 
Barometric pressure: 1020 mbar

mm	P/Pt	C4	C5	C4raw	C5raw
44.80000000	0.89627694	914.17998712	1019.97490390	-0.00820668	-0.00082704
56.80000000	0.86985617	887.22055349	1019.96235585	-0.00983957	-0.00082829
59.80000000	0.85903697	876.18426458	1019.96106887	-0.01050801	-0.00082842
62.80000000	0.85456701	871.62068076	1019.95592096	-0.01078441	-0.00082893
74.80000000	0.85977091	876.93202465	1019.96010364	-0.01046272	-0.00082852
79.80000000	0.86823086	885.55245425	1019.95045130	-0.00994060	-0.00082948
84.80000000	0.87819055	895.70491541	1019.94369465	-0.00932569	-0.00083016
96.80000000	0.89623997	914.11891582	1019.94884257	-0.00821037	-0.00082964
99.80000000	0.90459567	922.64072257	1019.94819908	-0.00769421	-0.00082971
102.80000000	0.91012754	928.29055497	1019.95656445	-0.00735200	-0.00082887
114.80000000	0.92015160	938.51052125	1019.95206002	-0.00673297	-0.00082932
119.80000000	0.92456129	943.01056988	1019.95463398	-0.00646039	-0.00082906
124.80000000	0.92774110	946.25681834	1019.95785143	-0.00626376	-0.00082874
129.80000000	0.93031864	948.88280575	1019.95463398	-0.00610470	-0.00082906
134.80000000	0.93244972	951.04890945	1019.94659036	-0.00597350	-0.00082987
139.80000000	0.93433349	952.97657414	1019.95334700	-0.00585674	-0.00082919
144.80000000	0.93596518	954.64774569	1019.96074713	-0.00575551	-0.00082845
149.80000000	0.93726901	955.97639730	1019.95946015	-0.00567503	-0.00082858
154.80000000	0.93841193	957.14786128	1019.96557330	-0.00560408	-0.00082797
159.80000000	0.93941772	958.17010352	1019.96171236	-0.00554216	-0.00082836
164.80000000	0.94023011	958.98842783	1019.95077304	-0.00549259	-0.00082945
176.80000000	0.94141584	960.19599966	1019.94884257	-0.00541944	-0.00082964
179.80000000	0.94194446	960.74668182	1019.96106887	-0.00538609	-0.00082842
182.80000000	0.94224621	961.04990209	1019.95624270	-0.00536772	-0.00082890
194.80000000	0.94241065	961.20974322	1019.94787734	-0.00535804	-0.00082974
226.80000000	0.94080379	959.57415871	1019.95141653	-0.00545711	-0.00082938
254.80000000	0.93039285	948.95130973	1019.94691210	-0.00610055	-0.00082984
286.80000000	0.91207604	930.27295448	1019.95109478	-0.00723192	-0.00082942
314.80000000	0.88041806	897.98053212	1019.94787734	-0.00918786	-0.00082974
344.80000000	0.80167038	817.66406261	1019.95045130	-0.01405223	-0.00082948
376.80000000	0.64307316	655.90628099	1019.95592096	-0.02384663	-0.00082893
404.80000000	0.44116008	449.96142063	1019.95045130	-0.03630895	-0.00082948
434.80000000	0.33213246	338.75822220	1019.94916432	-0.04303324	-0.00082961
466.80000000	0.27684396	282.36863658	1019.95592096	-0.04644143	-0.00082893
494.80000000	0.24558727	250.48708418	1019.95141653	-0.04836782	-0.00082938
524.80000000	0.22512286	229.61242007	1019.94272942	-0.04962893	-0.00083025
556.80000000	0.20351986	207.57866616	1019.94305116	-0.05095987	-0.00083022
584.80000000	0.19048343	194.28182462	1019.94079895	-0.05176296	-0.00083045
614.80000000	0.18452978	188.20897524	1019.93822499	-0.05212972	-0.00083070
642.80000000	0.31775833	324.09744701	1019.94948606	-0.04391945	-0.00082958
674.80000000	0.38039463	387.98257111	1019.94755559	-0.04005721	-0.00082977
704.80000000	0.41524771	423.52914812	1019.94337291	-0.03790762	-0.00083019
734.80000000	0.43907023	447.82790345	1019.94594687	-0.03643799	-0.00082993
764.80000000	0.45542800	464.51502169	1019.95270351	-0.03542863	-0.00082926
796.80000000	0.46021952	469.40125398	1019.95077304	-0.03513305	-0.00082945
824.80000000	0.43915814	447.91671360	1019.94401640	-0.03643262	-0.00083012
854.80000000	0.37321100	380.65252349	1019.93919023	-0.04050043	-0.00083061
