Notes: 3A
9.4
Mach number: 
Barometric pressure: 1020 mbar

mm	P/Pt	C4	C5	C4raw	C5raw
44.80000000	0.83080680	847.31521173	1019.87033685	-0.01225625	-0.00083749
56.80000000	0.77831692	793.79185969	1019.88256315	-0.01549770	-0.00083627
59.80000000	0.75491348	769.91264564	1019.86872812	-0.01694374	-0.00083765
62.80000000	0.74463323	759.42910260	1019.87001510	-0.01757857	-0.00083752
74.80000000	0.75718719	772.23178231	1019.86904987	-0.01680331	-0.00083762
79.80000000	0.77560813	791.02347175	1019.87516302	-0.01566535	-0.00083701
84.80000000	0.79521325	811.01798303	1019.87484127	-0.01445450	-0.00083704
96.80000000	0.82870946	845.17592581	1019.87001510	-0.01238582	-0.00083752
99.80000000	0.84347237	860.23787350	1019.87677174	-0.01147359	-0.00083685
102.80000000	0.85286559	869.81286484	1019.87098034	-0.01089368	-0.00083742
114.80000000	0.86990236	887.19293139	1019.87645000	-0.00984102	-0.00083688
119.80000000	0.87707885	894.51319513	1019.87773697	-0.00939765	-0.00083675
124.80000000	0.88240666	899.93696673	1019.86647591	-0.00906914	-0.00083788
129.80000000	0.88660371	904.22795103	1019.87838046	-0.00880924	-0.00083669
134.80000000	0.89024019	907.93156335	1019.87258906	-0.00858491	-0.00083726
139.80000000	0.89338810	911.14605703	1019.87709349	-0.00839021	-0.00083681
144.80000000	0.89595222	913.75566746	1019.87098034	-0.00823215	-0.00083742
149.80000000	0.89832328	916.17356010	1019.87065859	-0.00808570	-0.00083746
154.80000000	0.90028753	918.17828744	1019.87226731	-0.00796427	-0.00083730
159.80000000	0.90196041	919.88615256	1019.87419778	-0.00786083	-0.00083710
164.80000000	0.90338568	921.33857906	1019.87291080	-0.00777285	-0.00083723
176.80000000	0.90554122	923.53288083	1019.86840638	-0.00763995	-0.00083768
179.80000000	0.90640120	924.41548587	1019.87451953	-0.00758649	-0.00083707
182.80000000	0.90704992	925.08089096	1019.87870221	-0.00754618	-0.00083665
194.80000000	0.90762427	925.66345198	1019.87516302	-0.00751090	-0.00083701
226.80000000	0.90609419	924.10004228	1019.87194557	-0.00760559	-0.00083733
254.80000000	0.89259440	910.33141526	1019.87130208	-0.00843956	-0.00083739
286.80000000	0.87078150	888.09150488	1019.87870221	-0.00978660	-0.00083665
314.80000000	0.83575476	852.35960593	1019.86808463	-0.01195074	-0.00083771
344.80000000	0.75836126	773.43649537	1019.87870221	-0.01673036	-0.00083665
376.80000000	0.63836991	651.05556572	1019.87194557	-0.02414004	-0.00083733
404.80000000	0.46658535	475.85700341	1019.87130208	-0.03474230	-0.00083739
434.80000000	0.37566485	383.12835351	1019.86744114	-0.04035050	-0.00083778
466.80000000	0.32721342	333.71589592	1019.87226731	-0.04333782	-0.00083730
494.80000000	0.30069700	306.67117245	1019.86776289	-0.04497250	-0.00083775
524.80000000	0.28609538	291.77872163	1019.86518893	-0.04587254	-0.00083800
556.80000000	0.27009758	275.46415748	1019.86904987	-0.04685843	-0.00083762
584.80000000	0.25774390	262.86486232	1019.86840638	-0.04761974	-0.00083768
614.80000000	0.25049581	255.47292212	1019.86904987	-0.04806636	-0.00083762
642.80000000	0.38053374	388.09372766	1019.86679765	-0.04005026	-0.00083784
674.80000000	0.43690412	445.58583146	1019.87098034	-0.03657338	-0.00083742
704.80000000	0.45921432	468.33670226	1019.86518893	-0.03519722	-0.00083800
734.80000000	0.47208384	481.46400363	1019.86969336	-0.03440311	-0.00083755
764.80000000	0.47675591	486.23074640	1019.87355429	-0.03411474	-0.00083717
796.80000000	0.47731952	486.80125972	1019.86454544	-0.03408023	-0.00083807
824.80000000	0.45819803	467.30405194	1019.87355429	-0.03525969	-0.00083717
854.80000000	0.41566637	423.92219206	1019.86164974	-0.03788363	-0.00083836
